player_id,player_name,age,position,experience_years,OBP,SLG,AVG,HR,RBI,BB,injury_risk,market_bias,salary_usd,projected_runs,estimated_wins_added,cost_per_projected_run,value_index,business_recommendation
PLY-0042,George Harris,25,RF,5,0.309,0.447,0.328,9,50,38,Bajo,Sobrevalorado,7022359,135.7,13.57,51749.15,19.32,Fichar
PLY-0043,Miguel Rodriguez,34,C,13,0.323,0.371,0.29,20,51,44,Medio,Subestimado,4499637,139.8,13.98,32186.24,31.07,Fichar
PLY-0044,Carlos Miller,25,LF,4,0.24,0.465,0.245,18,46,36,Bajo,Sobrevalorado,6532186,129.9,12.99,50286.27,19.89,Fichar
PLY-0045,Luis Lopez,22,SS,3,0.267,0.571,0.287,9,64,50,Bajo,Neutral,6175907,140.0,14.0,44113.62,22.67,Fichar
PLY-0046,James Davis,29,LF,9,0.397,0.531,0.299,16,62,44,Bajo,Sobrevalorado,11482191,140.0,14.0,82015.65,12.19,Fichar
PLY-0047,James Davis,37,SS,16,0.409,0.549,0.287,10,72,51,Bajo,Sobrevalorado,12966213,140.0,14.0,92615.81,10.8,Monitorear
PLY-0048,Miguel Anderson,35,LF,16,0.324,0.392,0.21,7,56,47,Bajo,Subestimado,4939798,140.0,14.0,35284.27,28.34,Fichar
PLY-0049,Mike Miller,37,SS,16,0.361,0.356,0.24,11,59,50,Bajo,Sobrevalorado,9299075,134.7,13.47,69035.45,14.49,Fichar
PLY-0050,Brian Garcia,35,SS,13,0.349,0.421,0.256,12,58,61,Bajo,Neutral,6774311,140.0,14.0,48387.94,20.67,Fichar
PLY-0051,Carlos Anderson,33,3B,13,0.46,0.434,0.262,13,46,31,Alto,Neutral,8138328,139.8,13.98,58214.08,17.18,Riesgo alto
PLY-0052,Miguel Rodriguez,24,2B,4,0.385,0.512,0.287,15,48,40,Bajo,Subestimado,4056977,140.0,14.0,28978.41,34.51,Fichar
PLY-0053,John Rodriguez,28,2B,6,0.329,0.303,0.271,17,65,56,Bajo,Neutral,5101586,131.3,13.13,38854.42,25.74,Fichar
PLY-0054,Luis Jackson,36,3B,15,0.292,0.545,0.218,14,52,40,Bajo,Subestimado,4810065,140.0,14.0,34357.61,29.11,Fichar
PLY-0055,Andrew Rodriguez,33,DH,13,0.263,0.418,0.278,9,59,44,Medio,Neutral,5525773,140.0,14.0,39469.81,25.34,Fichar
PLY-0056,John Garcia,23,1B,5,0.344,0.398,0.286,15,56,32,Bajo,Neutral,5905706,130.7,13.07,45185.2,22.13,Fichar
PLY-0057,Andrew Martinez,23,DH,5,0.301,0.354,0.285,15,60,26,Bajo,Neutral,4801274,132.5,13.25,36236.03,27.6,Fichar
PLY-0058,Anthony Jackson,37,C,16,0.271,0.306,0.303,12,71,56,Bajo,Sobrevalorado,7951659,135.3,13.53,58770.58,17.02,Fichar
PLY-0059,Victor Lopez,28,C,8,0.306,0.492,0.294,8,47,46,Bajo,Neutral,5895062,140.0,14.0,42107.59,23.75,Fichar
PLY-0060,Jose Lewis,36,SS,15,0.286,0.435,0.281,13,55,42,Bajo,Subestimado,4243010,140.0,14.0,30307.21,33.0,Fichar
PLY-0061,James Harris,27,LF,5,0.411,0.333,0.263,15,68,58,Bajo,Subestimado,4047982,140.0,14.0,28914.16,34.59,Fichar
PLY-0062,Alex Smith,24,LF,2,0.375,0.333,0.207,18,65,43,Bajo,Subestimado,3765857,140.0,14.0,26898.98,37.18,Fichar
PLY-0063,Luis Martinez,30,2B,9,0.335,0.405,0.28,10,45,40,Bajo,Subestimado,3933029,140.0,14.0,28093.06,35.6,Fichar
PLY-0064,Jose Jackson,31,CF,8,0.402,0.555,0.272,15,50,38,Bajo,Subestimado,5056211,140.0,14.0,36115.79,27.69,Fichar
PLY-0065,Ryan Smith,36,DH,16,0.338,0.411,0.275,6,61,44,Medio,Subestimado,4170565,140.0,14.0,29789.75,33.57,Fichar
PLY-0066,Jose Martinez,35,RF,13,0.296,0.317,0.22,16,48,47,Medio,Sobrevalorado,7178632,121.3,12.13,59180.81,16.9,Fichar
PLY-0067,George Johnson,34,LF,14,0.404,0.412,0.227,12,71,35,Bajo,Neutral,7547239,140.0,14.0,53908.85,18.55,Fichar
PLY-0068,Daniel Thomas,27,RF,8,0.359,0.41,0.302,14,60,39,Bajo,Subestimado,4003923,140.0,14.0,28599.45,34.97,Fichar
PLY-0069,Robert Anderson,31,SS,11,0.288,0.28,0.264,13,50,53,Alto,Neutral,4413134,130.1,13.01,33921.09,29.48,Riesgo alto
PLY-0070,Kevin Young,31,RF,13,0.326,0.426,0.289,14,56,45,Bajo,Subestimado,4673217,140.0,14.0,33380.12,29.96,Fichar
PLY-0071,Ryan Martinez,27,3B,8,0.296,0.413,0.266,8,55,53,Bajo,Neutral,5342768,133.8,13.38,39931.0,25.04,Fichar
PLY-0072,John Miller,22,RF,0,0.273,0.482,0.266,11,78,32,Medio,Neutral,5492077,135.6,13.56,40502.04,24.69,Fichar
PLY-0073,Alex Thomas,25,1B,6,0.377,0.569,0.298,19,79,46,Bajo,Neutral,9025269,140.0,14.0,64466.21,15.51,Fichar
PLY-0074,Anthony Rodriguez,31,SS,12,0.421,0.514,0.247,10,54,44,Bajo,Neutral,8226788,140.0,14.0,58762.77,17.02,Fichar
PLY-0075,James Brown,27,DH,8,0.272,0.41,0.268,16,57,53,Bajo,Sobrevalorado,7621789,140.0,14.0,54441.35,18.37,Fichar
PLY-0076,Miguel Davis,36,3B,13,0.36,0.347,0.249,15,61,44,Alto,Sobrevalorado,8984333,132.9,13.29,67602.2,14.79,Riesgo alto
PLY-0077,Luis Miller,27,LF,8,0.306,0.623,0.25,10,61,48,Bajo,Neutral,7643609,140.0,14.0,54597.21,18.32,Fichar
PLY-0078,George Lopez,32,C,12,0.313,0.434,0.254,7,49,32,Medio,Neutral,5742172,131.0,13.1,43833.37,22.81,Fichar
PLY-0079,Kevin Jackson,33,DH,15,0.308,0.431,0.273,11,65,52,Alto,Neutral,6138355,135.9,13.59,45168.18,22.14,Riesgo alto
PLY-0080,Anthony Young,26,C,5,0.296,0.428,0.248,17,48,38,Bajo,Subestimado,3530816,135.3,13.53,26096.2,38.32,Fichar
PLY-0081,Samuel Harris,22,SS,3,0.337,0.445,0.309,12,53,37,Bajo,Neutral,6100824,140.0,14.0,43577.31,22.95,Fichar
PLY-0082,Alex Anderson,29,3B,7,0.298,0.419,0.234,19,62,50,Bajo,Subestimado,4286415,140.0,14.0,30617.25,32.66,Fichar
PLY-0083,James Johnson,26,2B,7,0.347,0.387,0.258,13,66,39,Bajo,Neutral,6436619,139.4,13.94,46173.74,21.66,Fichar
PLY-0084,Carlos Harris,33,LF,11,0.333,0.389,0.25,14,53,39,Bajo,Neutral,6592839,134.8,13.48,48908.3,20.45,Fichar
PLY-0085,Luis Harris,33,1B,13,0.324,0.428,0.316,20,59,44,Alto,Subestimado,4755347,140.0,14.0,33966.76,29.44,Riesgo alto
PLY-0086,Samuel Harris,33,2B,11,0.294,0.389,0.272,11,48,46,Medio,Sobrevalorado,7374845,129.7,12.97,56860.79,17.59,Fichar
PLY-0087,Mike Johnson,26,SS,5,0.309,0.377,0.301,20,57,35,Medio,Sobrevalorado,7409804,132.5,13.25,55923.05,17.88,Fichar
PLY-0088,Luis Miller,28,DH,10,0.369,0.438,0.213,15,55,52,Bajo,Neutral,7000178,140.0,14.0,50001.27,20.0,Fichar
PLY-0089,John Lewis,25,1B,3,0.358,0.411,0.274,17,66,39,Medio,Neutral,6479731,140.0,14.0,46283.79,21.61,Fichar
PLY-0090,Mike Anderson,27,RF,5,0.291,0.543,0.296,10,64,41,Alto,Sobrevalorado,8972815,133.6,13.36,67161.79,14.89,Riesgo alto
PLY-0091,Robert Smith,34,1B,16,0.339,0.28,0.268,25,56,46,Medio,Subestimado,4350866,131.2,13.12,33162.09,30.15,Fichar
PLY-0092,Ryan Harris,37,SS,16,0.369,0.512,0.302,19,64,51,Bajo,Neutral,8850943,140.0,14.0,63221.02,15.82,Fichar
PLY-0093,Robert Garcia,25,CF,6,0.26,0.523,0.247,11,59,56,Medio,Subestimado,3829958,135.5,13.55,28265.37,35.38,Fichar
PLY-0094,Alex Johnson,35,RF,13,0.359,0.28,0.314,13,77,37,Bajo,Neutral,6503362,140.0,14.0,46452.59,21.53,Fichar
PLY-0095,Robert Taylor,36,C,16,0.305,0.404,0.345,12,47,51,Bajo,Subestimado,3681994,130.6,13.06,28192.91,35.47,Fichar
PLY-0096,Brian White,24,LF,4,0.361,0.402,0.252,10,57,37,Bajo,Sobrevalorado,6945396,140.0,14.0,49609.97,20.16,Fichar
PLY-0097,John Davis,28,C,10,0.301,0.324,0.249,25,46,48,Medio,Sobrevalorado,7567639,128.8,12.88,58754.96,17.02,Fichar
PLY-0098,Robert White,29,1B,9,0.254,0.372,0.316,16,49,44,Medio,Subestimado,2832436,134.4,13.44,21074.67,47.45,Fichar
PLY-0099,Carlos Young,25,C,4,0.262,0.347,0.32,17,64,34,Bajo,Neutral,4484558,132.7,13.27,33794.71,29.59,Fichar
PLY-0100,David Lewis,37,SS,16,0.337,0.561,0.247,11,55,52,Bajo,Sobrevalorado,11103966,140.0,14.0,79314.04,12.61,Fichar
PLY-0101,Carlos Lewis,34,DH,16,0.347,0.5,0.25,10,57,64,Bajo,Neutral,7673025,140.0,14.0,54807.32,18.25,Fichar
PLY-0102,Alex Martinez,23,LF,0,0.294,0.525,0.255,12,65,48,Bajo,Sobrevalorado,8290040,140.0,14.0,59214.57,16.89,Fichar
PLY-0103,Alex Davis,33,C,11,0.364,0.484,0.218,13,62,54,Bajo,Neutral,7702023,140.0,14.0,55014.45,18.18,Fichar
PLY-0104,John Wilson,31,C,10,0.26,0.345,0.233,15,52,37,Bajo,Neutral,4965142,131.1,13.11,37872.94,26.4,Fichar
PLY-0105,James Clark,35,1B,16,0.332,0.391,0.23,10,57,46,Medio,Subestimado,4507862,140.0,14.0,32199.01,31.06,Fichar
PLY-0106,Miguel Miller,24,DH,2,0.281,0.467,0.238,16,61,49,Bajo,Subestimado,3272350,131.8,13.18,24828.15,40.28,Fichar
PLY-0107,Ryan Clark,22,2B,4,0.306,0.338,0.264,15,43,33,Bajo,Neutral,4730734,135.9,13.59,34810.4,28.73,Fichar
PLY-0108,Daniel Rodriguez,29,C,9,0.337,0.483,0.273,10,49,38,Bajo,Neutral,6473271,140.0,14.0,46237.65,21.63,Fichar
PLY-0109,James White,36,SS,16,0.296,0.412,0.319,11,58,52,Alto,Neutral,6701144,130.6,13.06,51310.44,19.49,Riesgo alto
PLY-0110,Brian Young,24,CF,1,0.318,0.402,0.23,4,39,49,Medio,Neutral,3587443,112.8,11.28,31803.57,31.44,Fichar
PLY-0111,Samuel Johnson,33,LF,15,0.38,0.483,0.299,13,63,44,Medio,Neutral,7825872,140.0,14.0,55899.09,17.89,Fichar
PLY-0112,John White,31,C,13,0.309,0.463,0.258,12,44,44,Bajo,Sobrevalorado,8986617,140.0,14.0,64190.12,15.58,Fichar
PLY-0113,Kevin Garcia,28,SS,5,0.373,0.403,0.263,5,76,45,Medio,Sobrevalorado,8284473,139.1,13.91,59557.68,16.79,Fichar
PLY-0114,Luis Davis,31,SS,10,0.284,0.517,0.289,13,55,42,Bajo,Neutral,6375385,140.0,14.0,45538.46,21.96,Fichar
PLY-0115,Anthony Rodriguez,26,LF,8,0.359,0.349,0.226,14,55,49,Medio,Sobrevalorado,7655501,127.6,12.76,59996.09,16.67,Fichar
PLY-0116,George White,31,2B,8,0.4,0.476,0.278,9,62,35,Alto,Neutral,7661630,140.0,14.0,54725.93,18.27,Riesgo alto
PLY-0117,Brian Rodriguez,26,SS,4,0.24,0.474,0.271,12,50,37,Medio,Neutral,4459176,120.0,12.0,37159.8,26.91,Fichar
PLY-0118,Alex Miller,35,CF,15,0.299,0.407,0.282,10,62,44,Alto,Sobrevalorado,9134152,134.8,13.48,67760.77,14.76,Riesgo alto
PLY-0119,Alex Taylor,28,SS,8,0.361,0.454,0.275,25,52,48,Medio,Subestimado,4623014,140.0,14.0,33021.53,30.28,Fichar
PLY-0120,Samuel Wilson,36,SS,16,0.326,0.336,0.351,16,53,42,Bajo,Subestimado,4352168,139.9,13.99,31109.14,32.14,Fichar
PLY-0121,David Brown,30,SS,9,0.352,0.499,0.243,19,61,48,Alto,Sobrevalorado,10363914,131.8,13.18,78633.64,12.72,Riesgo alto
PLY-0122,Miguel Young,33,2B,12,0.308,0.416,0.246,16,51,49,Bajo,Neutral,6555956,140.0,14.0,46828.26,21.35,Fichar
PLY-0123,Carlos White,26,C,4,0.339,0.391,0.243,22,61,49,Bajo,Sobrevalorado,8249966,140.0,14.0,58928.33,16.97,Fichar
PLY-0124,Carlos Clark,22,SS,4,0.328,0.509,0.246,14,61,38,Bajo,Sobrevalorado,8863862,140.0,14.0,63313.3,15.79,Fichar
PLY-0125,Andrew Clark,31,DH,11,0.388,0.377,0.243,19,65,39,Bajo,Subestimado,4837876,140.0,14.0,34556.26,28.94,Fichar
PLY-0126,Mike Rodriguez,31,C,10,0.346,0.324,0.307,16,60,40,Bajo,Sobrevalorado,7783144,134.4,13.44,57910.3,17.27,Fichar
PLY-0127,Brian Davis,22,2B,4,0.35,0.313,0.315,10,66,49,Bajo,Neutral,5169247,140.0,14.0,36923.19,27.08,Fichar
PLY-0128,David Miller,36,3B,15,0.316,0.475,0.245,13,48,41,Bajo,Neutral,6923036,140.0,14.0,49450.26,20.22,Fichar
PLY-0129,David Miller,23,C,0,0.313,0.334,0.236,8,72,54,Medio,Neutral,4153420,118.8,11.88,34961.45,28.6,Fichar
PLY-0130,Andrew White,37,C,16,0.316,0.562,0.281,15,55,51,Bajo,Sobrevalorado,10899945,140.0,14.0,77856.75,12.84,Fichar
PLY-0131,Alex Wilson,35,RF,15,0.353,0.28,0.246,19,57,40,Bajo,Subestimado,3398450,136.8,13.68,24842.47,40.25,Fichar
PLY-0132,James Rodriguez,27,1B,8,0.316,0.557,0.287,12,74,48,Medio,Neutral,7497692,140.0,14.0,53554.94,18.67,Fichar
PLY-0133,Samuel Miller,37,RF,15,0.348,0.446,0.272,18,48,35,Bajo,Neutral,8273785,140.0,14.0,59098.46,16.92,Fichar
PLY-0134,Brian Anderson,30,CF,8,0.428,0.423,0.212,18,69,44,Medio,Neutral,8223381,140.0,14.0,58738.44,17.02,Fichar
PLY-0135,George Moore,29,1B,9,0.374,0.389,0.319,14,53,46,Medio,Neutral,6468222,138.8,13.88,46601.02,21.46,Fichar
PLY-0136,Robert Brown,34,LF,13,0.32,0.46,0.328,12,71,69,Medio,Subestimado,4636883,140.0,14.0,33120.59,30.19,Fichar
PLY-0137,Jose Lewis,26,LF,8,0.389,0.427,0.244,13,64,43,Medio,Subestimado,4609390,139.2,13.92,33113.43,30.2,Fichar
PLY-0138,Miguel Johnson,22,2B,1,0.317,0.513,0.251,13,67,40,Bajo,Neutral,6390136,138.6,13.86,46104.88,21.69,Fichar
PLY-0139,John Jackson,37,1B,16,0.243,0.439,0.275,11,65,41,Medio,Sobrevalorado,8126456,139.7,13.97,58170.77,17.19,Fichar
PLY-0140,John Garcia,34,C,12,0.29,0.441,0.277,11,50,50,Bajo,Subestimado,4240147,132.4,13.24,32025.28,31.23,Fichar
PLY-0141,Brian Lewis,28,LF,7,0.251,0.403,0.288,15,39,50,Bajo,Subestimado,3207214,134.7,13.47,23810.05,42.0,Fichar
PLY-0142,David Rodriguez,37,SS,15,0.319,0.426,0.335,15,48,52,Medio,Sobrevalorado,9411656,140.0,14.0,67226.11,14.88,Fichar
PLY-0143,Samuel Harris,36,DH,16,0.336,0.453,0.259,13,66,54,Bajo,Subestimado,5129393,140.0,14.0,36638.52,27.29,Fichar
PLY-0144,Kevin Moore,26,C,4,0.41,0.302,0.237,14,58,49,Medio,Sobrevalorado,7630685,133.3,13.33,57244.45,17.47,Fichar
PLY-0145,Robert Rodriguez,27,CF,5,0.35,0.329,0.217,13,63,34,Medio,Neutral,5547858,137.4,13.74,40377.42,24.77,Fichar
PLY-0146,Anthony Garcia,34,SS,15,0.325,0.486,0.239,15,60,41,Alto,Sobrevalorado,10604944,135.6,13.56,78207.55,12.79,Riesgo alto
PLY-0147,Samuel Moore,28,SS,9,0.372,0.443,0.264,15,53,41,Alto,Subestimado,4447688,136.3,13.63,32631.61,30.65,Riesgo alto
PLY-0148,Carlos Miller,24,1B,1,0.24,0.416,0.328,23,62,50,Bajo,Subestimado,3080519,140.0,14.0,22003.71,45.45,Fichar
PLY-0149,Alex Miller,33,2B,14,0.346,0.431,0.247,10,61,55,Bajo,Neutral,7066557,140.0,14.0,50475.41,19.81,Fichar
PLY-0150,Carlos Clark,31,CF,9,0.37,0.456,0.273,12,49,48,Medio,Sobrevalorado,9629856,140.0,14.0,68784.69,14.54,Fichar
